,0
0,ALAlabama
1,AKAlaska
2,AZArizona
3,ARArkansas
4,CACalifornia
5,COColorado
6,CTConnecticut
7,DEDelaware
8,FLFlorida
9,GAGeorgia
10,HIHawaii
11,IDIdaho
12,ILIllinois
13,INIndiana
14,IAIowa
15,KSKansas
16,KYKentucky
17,LALouisiana
18,MEMaine
19,MDMaryland
20,MAMassachusetts
21,MIMichigan
22,MNMinnesota
23,MSMississippi
24,MOMissouri
25,MTMontana
26,NENebraska
27,NVNevada
28,NHNew Hampshire
29,NJNew Jersey
30,NMNew Mexico
31,NYNew York
32,NCNorth Carolina
33,NDNorth Dakota
34,OHOhio
35,OKOklahoma
36,OROregon
37,PAPennsylvania
38,RIRhode Island
39,SCSouth Carolina
40,SDSouth Dakota
41,TNTennessee
42,TXTexas
43,UTUtah
44,VTVermont
45,VAVirginia
46,WAWashington
47,WVWest Virginia
48,WIWisconsin
49,WYWyoming
